start,end,weight
19,30,1013.0
33,33,940.0
43,52,760.0
72,75,596.0
53,54,455.0
82,83,393.0
35,38,347.0
45,58,332.0
55,57,273.0
15,10,260.0
57,59,243.0
3,6,241.0
20,27,238.0
52,53,232.0
48,42,230.0
54,55,230.0
14,11,207.0
38,47,204.0
36,41,191.0
4,7,158.0
24,31,150.0
68,69,130.0
49,46,125.0
1,4,119.0
50,43,117.0
47,39,115.0
71,72,115.0
16,22,106.0
13,20,91.0
79,80,80.0
31,28,76.0
81,82,75.0
80,81,69.0
37,40,58.0
30,37,56.0
21,29,54.0
12,17,53.0
77,77,51.0
11,13,49.0
29,26,45.0
5,8,39.0
23,19,38.0
41,44,35.0
10,16,34.0
2,5,33.0
44,51,31.0
9,15,30.0
70,71,28.0
7,9,27.0
32,35,21.0
40,34,21.0
65,60,21.0
6,14,20.0
22,32,18.0
