grain_id,phi_1,Phi,phi_2,volume
5,1.4296,1.741,4.095,429830.0
6,1.2685,2.2337,4.2649,380380.0
8,0.79435,2.0183,4.2876,433210.0
9,0.79524,2.0015,2.7032,1854500.0
10,3.0285,2.7961,4.629,2399300.0
11,1.764,1.55,4.1964,1377800.0
12,2.4292,2.6307,4.3042,1626400.0
13,1.0829,1.9251,4.2563,2028800.0
14,1.082,1.9155,4.2224,2213600.0
15,0.78426,2.0408,4.1703,617700.0
16,1.5943,2.4998,4.1441,623700.0
17,2.572,2.1896,4.7158,965730.0
18,1.2678,2.2215,4.3547,2637100.0
19,1.5088,2.5908,3.8684,4928500.0
20,1.0261,2.4479,3.179,323740.0
22,1.6892,1.7338,4.2452,404490.0
23,1.3956,2.6587,3.7927,5183300.0
24,1.6547,2.7338,4.4191,1009200.0
25,5.3813,2.6007,1.1078,1391600.0
26,1.7345,2.4573,4.0297,631020.0
27,3.3326,2.7942,6.194,4534100.0
28,0.84264,2.1456,2.9403,2095200.0
29,5.7074,2.7426,1.378,341920.0
30,1.4795,1.7367,4.4986,236140.0
31,2.0309,1.7556,3.4863,865370.0
32,1.8327,2.5837,4.0771,1906700.0
33,0.56958,2.7023,3.7004,1053800.0
34,2.5756,2.1953,4.7246,2412200.0
35,1.4451,1.6144,3.9325,3145700.0
36,0.61595,2.4017,3.1051,732290.0
37,2.1005,1.7668,3.5924,3863000.0
38,0.69305,1.9891,2.8061,518150.0
39,5.965,2.7743,1.6276,292660.0
40,0.5733,2.8297,3.5811,318750.0
41,1.0364,2.4049,3.2149,2240900.0
42,0.50138,2.3296,2.8619,734180.0
43,0.039967,2.3366,3.2024,4259000.0
44,1.7537,1.6977,3.4375,8848700.0
45,1.4947,1.7,4.4771,587160.0
46,0.80771,2.1733,3.03,630540.0
47,0.3713,2.2146,3.0559,4341200.0
48,2.1145,2.4501,4.4649,838880.0
49,1.8001,1.7487,3.4283,2528700.0
50,1.8028,2.6387,4.0672,1420100.0
51,2.1859,2.4229,4.5521,1075800.0
52,1.4702,1.5979,3.9844,1094200.0
53,0.40341,2.1848,3.1285,3591600.0
54,1.824,2.6062,4.0647,8863700.0
55,0.80019,1.9498,2.7204,1196400.0
57,1.4783,1.6834,3.2004,944760.0
58,4.6655,2.94,1.0347,654000.0
59,0.77314,2.0067,4.1941,530260.0
60,2.0377,1.7752,3.5033,3230500.0
61,1.2892,2.7743,3.1635,5966800.0
62,1.9614,1.964,4.5971,3729600.0
63,1.9035,2.5822,4.1706,6511700.0
64,0.67665,1.9695,2.774,2422800.0
65,0.43411,2.1694,3.7201,1626100.0
66,4.585,2.7457,0.49146,586350.0
67,1.7443,1.5785,3.9034,952310.0
68,1.0649,2.4159,3.1963,1596100.0
69,1.4008,2.2952,3.2251,616850.0
71,3.4979,2.7967,0.57515,4016400.0
72,1.3868,1.6136,3.9041,971760.0
73,0.40587,2.1608,3.6992,300560.0
74,2.7347,2.4156,4.5765,1774900.0
75,5.3707,2.714,1.0838,486700.0
76,1.1411,2.6114,3.6983,1437800.0
