param_type,param_name,out_u_bound,in_l_bound,out_l_bound,base,in_u_bound
input,cp_lh_0,1,1.0376654933508023,0,10,2.59387285429545
input,cp_lh_1,1,0.7002103137560209,0,10,2.5927206731620704
input,cp_tau_0,1,0.3314070492197811,0,10,2.2963799537713854
input,cp_n,1,0.08632423130738509,0,10,1.202106711390236
input,average_strain,1,-2.5301927061182092,0,10,-1.001418112792836
output,average_stress,1,1.3088204331099595,0,10,2.8769218431745798
output,g1_phi_1,1,0.1733902514651952,0,10,0.18791535464998982
output,g1_Phi,1,0.2545239086857002,0,10,0.2703060911529131
output,g1_phi_2,1,0.6189471492307373,0,10,0.6206460774320012
output,g5_phi_1,1,0.3416521119435322,0,10,0.3521632157054434
output,g5_Phi,1,0.3897506588375062,0,10,0.3939610713375336
output,g5_phi_2,1,0.554222565542425,0,10,0.5655762997638275
output,g6_phi_1,1,0.1003705451175629,0,10,0.1137428624293499
output,g6_Phi,1,0.3462355816990377,0,10,0.35278046757132525
output,g6_phi_2,1,0.6242717799297329,0,10,0.6270584640009896
output,g7_phi_1,1,0.07758590636724308,0,10,0.09131515969722286
output,g7_Phi,1,0.2910578944342759,0,10,0.3024391640698575
output,g7_phi_2,1,0.6245192940673171,0,10,0.6282560667110061
output,g8_phi_1,1,0.3907232044488198,0,10,0.40330930382686836
output,g8_Phi,1,0.424538637154054,0,10,0.4289119391486062
output,g8_phi_2,1,0.6331653536839031,0,10,0.6366784225725206
output,g9_phi_1,1,-0.10498099376546283,0,10,-0.045063174694320654
output,g9_Phi,1,0.31135115757133974,0,10,0.31879350479329677
output,g9_phi_2,1,0.6248593958396503,0,10,0.6288689432836394
output,g10_phi_1,1,0.13554606833507898,0,10,0.21018470547240684
output,g10_Phi,1,0.39446919234743405,0,10,0.4007624176069357
output,g10_phi_2,1,0.5855847959232576,0,10,0.5913317829696554
output,g11_phi_1,1,0.46343009190280193,0,10,0.49112346701796883
output,g11_Phi,1,0.4525377439293981,0,10,0.4551342931960993
output,g11_phi_2,1,0.7598188773748261,0,10,0.7730253976388034
output,g12_phi_1,1,0.06837141803264318,0,10,0.10222783012313004
output,g12_Phi,1,0.2959407622671988,0,10,0.308692442201257
output,g12_phi_2,1,0.6230734689508648,0,10,0.6273146396008809
output,g13_phi_1,1,0.21984638602436068,0,10,0.2426904740523735
output,g13_Phi,1,0.2333769034738959,0,10,0.24127246990169554
output,g13_phi_2,1,0.6267816245216076,0,10,0.6284706719067363
output,g14_phi_1,1,0.08884456272700426,0,10,0.11038766587508697
output,g14_Phi,1,0.34507952631486666,0,10,0.356484780605221
output,g14_phi_2,1,0.6257033458532264,0,10,0.6305499078498524
output,g15_phi_1,1,-0.1330395831550633,0,10,-0.05414751464498811
output,g15_Phi,1,0.3092894106552564,0,10,0.3197096942879828
output,g15_phi_2,1,0.6216850847983184,0,10,0.6254565058057138
output,g16_phi_1,1,0.4580634453251834,0,10,0.4836300824949524
output,g16_Phi,1,0.4526296516220175,0,10,0.45421963566000145
output,g16_phi_2,1,0.6516656039229355,0,10,0.6670044173665798
output,g18_phi_1,1,0.7431176252147416,0,10,0.7592371131531702
output,g18_Phi,1,0.4354780541713246,0,10,0.4471114972976469
output,g18_phi_2,1,0.1194868355646357,0,10,0.18158636373685627
output,g19_phi_1,1,0.07671324469002509,0,10,0.0984706656506293
