strain,strain_intervals,g14_phi_1,g14_Phi,g14_phi_2,g72_phi_1,g72_Phi,g72_phi_2,g95_phi_1,g95_Phi,g95_phi_2,g101_phi_1,g101_Phi,g101_phi_2,g207_phi_1,g207_Phi,g207_phi_2,g240_phi_1,g240_Phi,g240_phi_2,g262_phi_1,g262_Phi,g262_phi_2,g287_phi_1,g287_Phi,g287_phi_2,stress,average_strain,average_stress
0.0,0.0,1.2658,2.2196,4.1967,0.13336,2.8692,1.9777,1.6868,2.0104,3.4265,1.5743,2.4368,3.4355,1.9705,1.9091,3.8003,2.3345,2.429,3.7356,1.3507,2.3843,3.8078,2.1341,2.3941,3.6876,0.0,0.0,0.0
0.001,0.001,1.2747496463020644,2.2270111432731907,4.222115010791187,0.14007302846420228,2.888755607062299,1.987680836818107,1.698943677448296,2.0093394489484493,3.456123502398564,1.607949715753964,2.435033343098746,3.4671003849329263,1.9765457375582483,1.9029712603160243,3.820404341495454,2.347861625077716,2.4140138120313055,3.7570631852081946,1.3711650251344276,2.38486629282263,3.837647830271212,2.155331871134062,2.3806852328591326,3.714138789772625,322.6962879731329,0.001,322.6962879731329
0.002,0.002,1.2758256120781097,2.2263018256442697,4.222790032241889,0.13163719888119563,2.889402761671593,1.9811557361263095,1.7001565891493462,2.007095564231585,3.4543707161094597,1.6042739221029296,2.435572500486537,3.4676900408269935,1.977049193711881,1.9004050127929877,3.819018030383167,2.349144355875251,2.4129540860878986,3.756608099910661,1.3732731803070564,2.386345105560969,3.8395368695346646,2.1551198156687277,2.3806422317863176,3.711764727096655,329.0539785286777,0.002,329.0539785286777
0.003,0.003,1.2765633493213335,2.226194100172855,4.223356101971309,0.12980155974588828,2.8897814474147636,1.9781996808029503,1.7009586819069458,2.0060580012100493,3.4535376424294486,1.6024760889505614,2.435967324687616,3.4682498885566817,1.977497379027403,1.899143714416692,3.8184339787596313,2.3499228435451323,2.4124451061820977,3.7564702684508107,1.374857832109437,2.387445876572928,3.8409643814585266,2.1552934978123997,2.380657975722806,3.710577308921588,335.65827270243676,0.003,335.65827270243676
0.004,0.004,1.277229587711975,2.2263702974958686,4.223858072733063,0.13066405500105147,2.8900192726248184,1.976840528367409,1.7015975236067677,2.005575018785988,3.453112481497779,1.601729821950684,2.436265522666409,3.4687174462685184,1.9779042798660453,1.8984427339795211,3.8181933285423013,2.350454056373924,2.412142620564059,3.756425503508542,1.3761938700015064,2.3884011966226524,3.8420226301426625,2.1556438561392595,2.3806803476781826,3.7099629917636734,344.8718952169243,0.004,344.8718952169243
0.005,0.005,1.2777601763893924,2.2265616054517388,4.224260799732482,0.1316844386087887,2.890190159420837,1.9760291493872755,1.702140735761755,2.00524691091682,3.452838597980804,1.601283596384693,2.4364927552382705,3.469110856569332,1.978243524933487,1.8979384586144035,3.8180595970441624,2.3509018121535132,2.411919670665551,3.756399292542803,1.3772882684957755,2.389237517976009,3.8428191168002592,2.1559992434744912,2.380713936092015,3.709566978634825,351.8080351601822,0.005,351.8080351601822
0.006,0.006,1.2781607579488816,2.2266169588756806,4.224618951584188,0.13142981409909438,2.890329016108204,1.9750567017315037,1.7026205481475651,2.0048025086287127,3.4524912583960368,1.6007336000580406,2.4367478405242595,3.4694787165471825,1.9785069536739726,1.8973667690298288,3.817793255312417,2.351342093748669,2.411637954922581,3.7562695664065067,1.3783446696483521,2.3900513453195287,3.8436274064041003,2.156288087810451,2.3807893862171734,3.7090495704771733,356.5188811023117,0.006,356.5188811023117
0.007,0.007,1.2785138901775566,2.2266332715151704,4.22493775473641,0.13056271709289252,2.890434589280959,1.9737929385882595,1.7031265757162404,2.0042795577490367,3.452080470066316,1.6000486008249417,2.437006370768669,3.469835510936583,1.9787690814894658,1.8967203937658175,3.8174090734539936,2.351771808685791,2.411337932326449,3.7560729956920165,1.3793201930328163,2.3907854041335446,3.8443526842615086,2.1565352089931977,2.38089186947438,3.7084364718553364,359.8688853757689,0.007,359.8688853757689
0.008,0.008,1.2788452696374357,2.226695026551341,4.225250904610367,0.1303045286558253,2.8905234042829213,1.9727633103394717,1.7036562158321287,2.003835507413831,3.4517370079049443,1.5995151199965423,2.437282890384131,3.470196906697266,1.9790576622190792,1.8961972855888274,3.8170365175059957,2.3522262255156936,2.411111452134544,3.7559130425732286,1.3802776482901065,2.3915117320827153,3.8450876043728512,2.1568470093699483,2.3810216624814196,3.707871689081959,365.59862190500473,0.008,365.59862190500473
0.009000000000000001,0.009000000000000001,1.2791428040641204,2.2267564172668255,4.225525920388869,0.13017337947471763,2.890604028852995,1.9718684814549334,1.7041237448206201,2.003434851626746,3.4514424058357327,1.5990491593401568,2.4375429653139546,3.4705220028376913,1.9793134160373056,1.8957509848187613,3.8167155286707506,2.3526549014304954,2.410920852642422,3.7557790660477695,1.3811392360119483,2.392194027436534,3.8457755001625733,2.15716233344736,2.3811475153806128,3.7073845858389958,371.17540990217594,0.009000000000000001,371.17540990217594
