Experimental,Low-Fidelity,High-Fidelity
1.2047,1.2269,1.1841
1.1989,1.2269,1.1958
1.1899,1.2269,1.1979
1.2035,1.2278,1.1995
1.1996,1.2293,1.1868
1.1905,1.2309,1.1893
1.1944,1.2332,1.1904
1.2149,1.2353,1.1925
1.2116,1.2395,1.1959
1.2313,1.2418,1.2001
1.2362,1.2466,1.2021
1.2433,1.2517,1.2063
1.2526,1.2593,1.2139
1.2512,1.2681,1.2227
1.2644,1.2779,1.2317
1.2823,1.2875,1.2411
1.2912,1.2998,1.2526
1.3216,1.3151,1.269
1.3578,1.3334,1.286
1.3776,1.3662,1.3153
1.4104,1.3852,1.3488
1.4558,1.4227,1.3792
1.4964,1.4529,1.4095
1.5237,1.4824,1.4388
